"Name","State","Notes","User","Tags","Created","Runtime","Sweep","actual_lr","batch_size","checkpoint_dir","checkpoint_tokens","compile","context_length","data_dir","ecd_F0","ecd_consEn","ecd_eps1","ecd_eps2","ecd_eta","ecd_lr_rescaled","ecd_nu","ecd_weight_decay","grad_accum","lr_index","mean_K","mean_Q","model","n_embd","n_head","n_layer","name_prefix","optimizer","save_checkpoints","seed","seed_index","seeds","std_K_max","std_K_min","std_Q_max","std_Q_min","train_tokens","use_asymmetric_mlp","use_bf16","use_disordered_attention","use_eq28_eta","use_k_bias","valid_every_updates","vocab_size","wandb","wandb_project","adamw_beta1","adamw_beta2","adamw_eps","adamw_lr","adamw_weight_decay","train/loss (Min)","train/step","train/tokens","train/tokens_per_sec","val/best_loss","val/loss"
"adamw-124m-ckpt-best-lr0.0001-seed42","finished","-","","","2025-11-08T19:02:46.000Z","8198","","0.0001","8","experiments/ecd_vs_soap/checkpoints/adamw_best_disordered","[50000000]","false","512","/workspace/modded-nanogpt/data/finewebedu10B","","","","","","","","","1","0","0.3","0.5","124m","768","12","12","adamw-124m-ckpt-best","adamw","true","42","0","[42]","0.08","0.12","0.15","0.05","500000000","true","true","true","","true","1000","65536","true","ecd-vs-soap-checkpoints","0.9","0.999","1e-8","[0.0001]","0","2.5986971855163574","122060","499961856","61086.306082973046","3.573553791046143","3.711112551689148"
"ecd-124m-ckpt-best-lrhat1.0-seed42","finished","-","","","2025-11-08T15:14:21.000Z","13700","","1","8","experiments/ecd_vs_soap/checkpoints/ecd_best_disordered","[50000000]","false","512","/workspace/modded-nanogpt/data/finewebedu10B","2","true","1e-10","1e-40","100","[1]","0","0","1","0","0.3","0.5","124m","768","12","12","ecd-124m-ckpt-best","ecd","true","42","0","[42]","0.08","0.12","0.15","0.05","500000000","true","true","true","true","true","1000","65536","true","ecd-vs-soap-checkpoints","","","","","","3.017948627471924","122060","499961856","36523.090982868736","3.867190737724304","4.000186347961426"
